1ST CHOICE MAYOR MINNEAPOLIS,2ND CHOICE MAYOR MINNEAPOLIS,3RD CHOICE MAYOR MINNEAPOLIS
MARK ANDREW,JACKIE CHERRYHOMES,BETSY HODGES
BETSY HODGES,MARK ANDREW,DON SAMUELS
DON SAMUELS,undervote,undervote
BETSY HODGES,MARK ANDREW,JACKIE CHERRYHOMES
CHRISTOPHER CLARK,CHRISTOPHER ROBIN ZIMMERMAN,CAM WINTON
CAPTAIN JACK SPARROW,JOHN CHARLES WILSON,JAYMIE KELLY
JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW
JACKIE CHERRYHOMES,MARK ANDREW,BOB FINE
BETSY HODGES,DON SAMUELS,undervote
BETSY HODGES,DON SAMUELS,STEPHANIE WOODRUFF
BETSY HODGES,MARK V ANDERSON,DON SAMUELS
BETSY HODGES,DON SAMUELS,JACKIE CHERRYHOMES
MARK ANDREW,undervote,undervote
DON SAMUELS,BETSY HODGES,MARK ANDREW
MARK ANDREW,BETSY HODGES,JACKIE CHERRYHOMES
BETSY HODGES,DON SAMUELS,undervote
MARK ANDREW,BOB FINE,CAM WINTON
JACKIE CHERRYHOMES,DON SAMUELS,"BOB ""AGAIN"" CARNEY JR"
CAM WINTON,undervote,undervote
BETSY HODGES,undervote,undervote
MARK ANDREW,JACKIE CHERRYHOMES,DON SAMUELS
BETSY HODGES,CAM WINTON,MARK ANDREW
MARK ANDREW,CAM WINTON,BOB FINE
BETSY HODGES,DON SAMUELS,MARK ANDREW
BETSY HODGES,MARK ANDREW,undervote
MARK V ANDERSON,BOB FINE,undervote
MARK ANDREW,CAM WINTON,DON SAMUELS
BETSY HODGES,STEPHANIE WOODRUFF,DON SAMUELS
MARK ANDREW,BETSY HODGES,DON SAMUELS
CAM WINTON,undervote,undervote
DON SAMUELS,BETSY HODGES,MARK ANDREW
DON SAMUELS,BETSY HODGES,BOB FINE
undervote,undervote,undervote
BETSY HODGES,MARK ANDREW,DOUG MANN
UWI,DOUG MANN,BETSY HODGES
BETSY HODGES,MARK ANDREW,JACKIE CHERRYHOMES
CAM WINTON,JEFFREY ALAN WAGNER,BOB FINE
BETSY HODGES,BETSY HODGES,BETSY HODGES
MARK ANDREW,undervote,undervote
MARK ANDREW,BETSY HODGES,BOB FINE
BETSY HODGES,undervote,undervote
MARK ANDREW,BETSY HODGES,DOUG MANN
CAM WINTON,DAN COHEN,STEPHANIE WOODRUFF
BETSY HODGES,DON SAMUELS,MARK ANDREW
DON SAMUELS,MARK ANDREW,undervote
BETSY HODGES,CAM WINTON,DAN COHEN
undervote,MARK ANDREW,undervote
BETSY HODGES,BOB FINE,MARK ANDREW
BETSY HODGES,MARK ANDREW,STEPHANIE WOODRUFF
BETSY HODGES,DON SAMUELS,JACKIE CHERRYHOMES
MARK ANDREW,undervote,undervote
MARK ANDREW,DON SAMUELS,undervote
STEPHANIE WOODRUFF,JOSHUA REA,MIKE GOULD
MARK ANDREW,BOB FINE,DAN COHEN
MARK ANDREW,DON SAMUELS,undervote
DON SAMUELS,JACKIE CHERRYHOMES,BETSY HODGES
MARK ANDREW,BETSY HODGES,DON SAMUELS
CAM WINTON,MARK ANDREW,BETSY HODGES
BETSY HODGES,DON SAMUELS,JACKIE CHERRYHOMES
DAN COHEN,BOB FINE,undervote
BETSY HODGES,JACKIE CHERRYHOMES,DAN COHEN
BETSY HODGES,DON SAMUELS,JACKIE CHERRYHOMES
DON SAMUELS,BETSY HODGES,BOB FINE
BETSY HODGES,undervote,undervote
BETSY HODGES,DON SAMUELS,MARK ANDREW
MARK V ANDERSON,undervote,undervote
BETSY HODGES,MARK ANDREW,undervote
CAM WINTON,JACKIE CHERRYHOMES,BETSY HODGES
BETSY HODGES,JAMES EVERETT,MARK V ANDERSON
BETSY HODGES,DON SAMUELS,BOB FINE
DAN COHEN,DOUG MANN,MARK V ANDERSON
JOHN LESLIE HARTWIG,CAM WINTON,NEAL BAXTER
MARK ANDREW,undervote,undervote
BETSY HODGES,undervote,undervote
MIKE GOULD,CAM WINTON,BETSY HODGES
MARK ANDREW,BETSY HODGES,STEPHANIE WOODRUFF
DON SAMUELS,BETSY HODGES,CAM WINTON
BETSY HODGES,MARK ANDREW,DON SAMUELS
BETSY HODGES,MARK ANDREW,DON SAMUELS
BETSY HODGES,MARK ANDREW,DON SAMUELS
BETSY HODGES,DOUG MANN,TONY LANE
OLE SAVIOR,OLE SAVIOR,OLE SAVIOR
MARK ANDREW,BETSY HODGES,DON SAMUELS
DAN COHEN,DON SAMUELS,CAM WINTON
MARK ANDREW,JACKIE CHERRYHOMES,BOB FINE
CAM WINTON,DAN COHEN,CHRISTOPHER CLARK
BETSY HODGES,"BOB ""AGAIN"" CARNEY JR",CAPTAIN JACK SPARROW
BOB FINE,MARK V ANDERSON,undervote
JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW
MARK ANDREW,BOB FINE,BETSY HODGES
BETSY HODGES,DON SAMUELS,MARK ANDREW
MARK ANDREW,BETSY HODGES,undervote
BETSY HODGES,MARK ANDREW,BOB FINE
MARK V ANDERSON,MARK V ANDERSON,MARK V ANDERSON
BETSY HODGES,MARK ANDREW,DON SAMUELS
BETSY HODGES,BOB FINE,MIKE GOULD
MARK ANDREW,BETSY HODGES,DON SAMUELS
MARK ANDREW,BOB FINE,CAPTAIN JACK SPARROW
DOUG MANN,BETSY HODGES,DON SAMUELS
BETSY HODGES,BETSY HODGES,BETSY HODGES
CAM WINTON,OLE SAVIOR,KURTIS W. HANNA
CAM WINTON,BETSY HODGES,BOB FINE
CAM WINTON,MARK ANDREW,JACKIE CHERRYHOMES
MARK ANDREW,BETSY HODGES,DON SAMUELS
BETSY HODGES,DON SAMUELS,MARK ANDREW
MARK ANDREW,JACKIE CHERRYHOMES,BETSY HODGES
BETSY HODGES,MARK ANDREW,BOB FINE
CAM WINTON,ALICIA K. BENNETT,"BOB ""AGAIN"" CARNEY JR"
DON SAMUELS,STEPHANIE WOODRUFF,BOB FINE
